AACG,30-Oct-2020,1.09,1.1,1.08,1.09,28800
AACQ,30-Oct-2020,9.6,9.69,9.58,9.647,153100
AACQU,30-Oct-2020,10.01,10.04,9.94,10,38600
AACQW,30-Oct-2020,1.1401,1.18,1.14,1.155,52300
AAL,30-Oct-2020,11.06,11.415,10.98,11.28,51348300
AAME,30-Oct-2020,2.0836,2.1437,2.01,2.02,2000
AAOI,30-Oct-2020,9.15,9.22,8.469,8.78,1046700
AAON,30-Oct-2020,58.75,59.115,56.2731,58.41,129800
AAPL,30-Oct-2020,111.06,111.99,107.72,108.86,190573400
AAWW,30-Oct-2020,61.01,61.35,57.43,59.16,653600
AAXJ,30-Oct-2020,79.03,79.1,78.25,78.6,1481700
AAXN,30-Oct-2020,103.01,103.43,98.01,98.9,447200
ABCB,30-Oct-2020,28.79,29.43,28.79,29.3,289300
ABCM,30-Oct-2020,19.21,19.45,18.94,19,31800
ABEO,30-Oct-2020,1.12,1.12,1.03,1.07,1885700
ABIO,30-Oct-2020,3.85,3.86,3.71,3.85,312100
ABMD,30-Oct-2020,253.65,258.18,242.73,251.88,426300
ABST,30-Oct-2020,11.73,11.8,11.1,11.28,120700
ABTX,30-Oct-2020,27.37,28.43,27.37,28.3,62800
ABUS,30-Oct-2020,2.92,2.94,2.77,2.82,724500
ACACU,30-Oct-2020,9.97,9.97,9.9,9.91,141300
ACAD,30-Oct-2020,46.8,47.67,45.35,46.45,1325700
ACAM,30-Oct-2020,10.08,10.1599,10.08,10.12,366400
ACAMU,30-Oct-2020,10.43,10.5,10.43,10.5,2700
ACAMW,30-Oct-2020,1.17,1.17,1.08,1.15,61700
ACBI,30-Oct-2020,13.7,14.01,13.7,13.88,72800
ACCD,30-Oct-2020,34.61,35.4299,33.92,35.02,293600
ACER,30-Oct-2020,2.61,2.61,2.44,2.44,55500
ACET,30-Oct-2020,11.59,11.975,10.62,10.72,44900
ACEV,30-Oct-2020,9.65,9.66,9.6,9.66,384000
ACEVU,30-Oct-2020,10.0072,10.0072,9.92,9.92,17600
ACEVW,30-Oct-2020,0.6,0.6,0.6,0.6,400
ACGL,30-Oct-2020,30.85,32.14,29.84,30.21,3327900
ACGLO,30-Oct-2020,25.78,26.1,25.78,26.1,45800
ACGLP,30-Oct-2020,25.25,25.49,25.25,25.49,52300
ACHC,30-Oct-2020,33.63,35.7599,32.94,35.65,2186900
ACHV,30-Oct-2020,7.94,8.0861,7.66,7.86,60100
ACIA,30-Oct-2020,67.6,67.845,67.47,67.74,380500
ACIU,30-Oct-2020,4.78,4.88,4.66,4.82,556700
ACIW,30-Oct-2020,29.37,29.58,28.57,29.17,503400
ACLS,30-Oct-2020,22.24,22.7,21.78,22.07,160800
ACMR,30-Oct-2020,74.42,75.3,69.41,70.37,348900
ACNB,30-Oct-2020,21.24,21.395,20.84,20.87,7400
ACOR,30-Oct-2020,0.8905,0.91,0.86,0.8742,1334700
ACRS,30-Oct-2020,3.74,3.85,3.61,3.84,236400
ACRX,30-Oct-2020,1.79,1.79,1.69,1.71,818800
ACST,30-Oct-2020,0.19,0.195,0.1826,0.186,1443600
ACT,30-Oct-2020,27.16,27.16,27.0441,27.0441,500
