A,30-Oct-2020,101.77,102.35,100.6548,102.09,2310000
AA,30-Oct-2020,12.7,13.032,12.61,12.92,3998300
AAI-B,30-Oct-2020,18,18,17.97,17.9899,8600
AAI-C,30-Oct-2020,18.6301,18.85,18.6301,18.85,900
AAIC,30-Oct-2020,2.42,2.5,2.38,2.46,160600
AAN,30-Oct-2020,54.43,55.81,51.43,52.26,931000
AAP,30-Oct-2020,144.87,147.405,144.6,147.28,821900
AAT,30-Oct-2020,20.99,21.38,20.745,20.93,327800
AB,30-Oct-2020,29.44,29.44,28.61,29.06,581200
ABB,30-Oct-2020,24.36,24.4,24.07,24.29,1755500
ABBV,30-Oct-2020,83.19,86.14,83,85.1,18095100
ABC,30-Oct-2020,94.08,96.48,94.03,96.07,1218700
ABEV,30-Oct-2020,2.24,2.24,2.13,2.14,36842100
ABG,30-Oct-2020,102.73,103.425,99.65,102.98,293000
ABM,30-Oct-2020,35.2,35.43,34.28,34.72,613700
ABR,30-Oct-2020,11.8,12.07,11.56,11.82,1826600
ABR-A,30-Oct-2020,25.3,25.89,25.3,25.41,7700
ABR-B,30-Oct-2020,25.44,25.48,25.316,25.32,9700
ABR-C,30-Oct-2020,25.56,25.882,25.53,25.8,8700
ABT,30-Oct-2020,104.76,105.55,103.13,105.11,4434600
AC,30-Oct-2020,32.23,32.67,32.1,32.1,4300
ACA,30-Oct-2020,44.99,46.74,44.99,46.17,255600
ACB,30-Oct-2020,4.11,4.11,3.8775,4.05,6446400
ACC,30-Oct-2020,37.06,37.46,36.76,37.46,834600
ACCO,30-Oct-2020,5.49,5.57,5.2,5.27,801500
ACEL,30-Oct-2020,9.76,9.76,9.55,9.6,262400
ACH,30-Oct-2020,5.45,5.47,5.37,5.45,63900
ACI,30-Oct-2020,14.97,15.245,14.59,14.69,3630000
ACI.U,30-Oct-2020,9.95,9.98,9.93,9.93,86900
ACM,30-Oct-2020,43.65,44.84,43.46,44.84,1391800
ACN,30-Oct-2020,215.28,217.81,213.64,216.91,1972600
ACN.U,30-Oct-2020,10.12,10.12,10.12,10.12,500
ACN.W,30-Oct-2020,1.01,1.04,1,1.04,57000
ACND,30-Oct-2020,9.57,9.79,9.57,9.78,24400
ACP,30-Oct-2020,9.23,9.27,9.18,9.18,62600
ACRE,30-Oct-2020,9.41,9.6,9.1971,9.31,218400
ACV,30-Oct-2020,25.97,25.97,24.95,25.05,81300
ADC,30-Oct-2020,62.89,63.43,61.33,62.07,445900
ADCT,30-Oct-2020,28.97,29.48,28.2304,28.69,124800
ADM,30-Oct-2020,48,49.58,45.68,46.24,6630100
ADNT,30-Oct-2020,22.1,22.36,20.96,21.22,1234900
ADS,30-Oct-2020,51.39,52.7999,49.84,51.54,1629800
ADT,30-Oct-2020,6.75,6.76,6.48,6.59,3874500
ADX,30-Oct-2020,15.71,15.79,15.475,15.56,165200
AEB,30-Oct-2020,24.81,24.86,24.655,24.86,57000
AEE,30-Oct-2020,80.94,82.23,80.37,81.12,1330300
AEFC,30-Oct-2020,25.8,26.06,25.8,26.06,158400
AEG,30-Oct-2020,2.63,2.7,2.6,2.7,1993200
AEL,30-Oct-2020,24.29,25.35,24.05,24.82,1243700
AEL-A,30-Oct-2020,24.97,25.05,24.9,24.9,37200
AEL-B,30-Oct-2020,26.16,26.2,25.9,26.06,48300
AEM,30-Oct-2020,79.3,79.9299,77.89,79.29,699900
AEO,30-Oct-2020,13.69,13.78,13.36,13.71,5763700
AER,30-Oct-2020,25.18,25.42,24.29,24.83,1193000
AES,30-Oct-2020,19.5,19.805,19.305,19.5,5949700
AFB,30-Oct-2020,13.65,13.65,13.53,13.58,28100
AFC,30-Oct-2020,25.45,25.68,25.44,25.68,26100
AFG,30-Oct-2020,73.89,75.315,73.89,74.94,559600
AFGB,30-Oct-2020,27.35,27.49,27.089,27.49,13000
AFGC,30-Oct-2020,26.79,27,26.7,27,25600
AFGD,30-Oct-2020,27,27.31,27,27.3,40800
AFGE,30-Oct-2020,26.75,26.83,26.63,26.83,18200
AFGH,30-Oct-2020,25.38,25.38,25.35,25.38,43600
AFI,30-Oct-2020,3.14,3.27,2.84,2.96,596900
AFL,30-Oct-2020,33.97,34.42,33.365,33.95,5321200
AFT,30-Oct-2020,12.57,12.68,12.53,12.67,74600
AG,30-Oct-2020,10.22,10.28,9.85,10.25,4084700
AGCO,30-Oct-2020,77.18,78.06,76.04,77.03,659500
AGD,30-Oct-2020,8.74,8.74,8.55,8.58,36800
AGI,30-Oct-2020,9.25,9.295,8.89,9.15,3757600
AGM,30-Oct-2020,64.69,65.27,64.12,64.59,36300
AGM-C,30-Oct-2020,26.97,26.97,26.74,26.8865,900
AGM-D,30-Oct-2020,27.04,27.04,27.04,27.04,300
